11;19;24;TOLEDO-CHACO I
9;17;31;ÑUATI
6;4;19;SAN PABLO
6;4;1;MOISES BERTONI
2;6;36;SANTA LIBRADA
2;6;37;SAN BLAS
14;5;57;MODULO 3
14;3;54;CARUPERAMI II
9;8;45;LOMA I
4;6;32;PUEBLO
4;6;33;GARAY
8;8;12;SAN ROQUE                                         
8;8;13;SANTA RITA                                        
8;8;14;SAN FRANCISCO                                     
8;8;15;SAN JUAN                                          
8;8;16;SAN MIGUEL                                        
8;8;17;FATIMA                                            
8;8;18;MBOKAJATY                                         
8;8;19;CAAGUAZU-MI                                       
8;8;20;ISLA TIMBO
8;8;21;CAACUPE
8;8;22;AQUINO CUE
8;8;999;NO ESPECIFICADO 
8;9;2;MANGA ITA                                         
8;9;3;ZONA DE ESTANCIAS                                 
8;9;4;MANGA YVYRA                                       
8;9;999;NO ESPECIFICADO 
8;10;1;SUB URBANO B.OBRERO                               
8;10;2;GALEANO CUE                                       
8;10;3;MARISCAL SUB URBANO                               
8;10;4;MBURUCUYA                                         
8;10;5;BAULES                                            
8;10;6;TAVAI(LAGUNA PORA)                                
8;10;7;PIRA GUAZU                                        
8;10;8;PANCHITO LOPEZ                                    
8;10;9;PEGUAJHO                                          
8;10;10;PESOA CUE                                         
8;10;11;COSTA YABEBYRY
8;10;12;CAÑA DE CASTILLA
8;10;999;NO ESPECIFICADO 
9;1;1;ZONA URBANA-(CIUDAD)
9;1;2;COSTA PRIMERA
9;1;3;SANTO TOMAS (MBATOVI)
9;1;4;JHUGUA SAY JU (MBATOVI)
9;1;5;MBATOVI
9;1;6;NARANJO
9;1;7;ITA MOROTI
9;1;8;CAPILLA CUE
9;1;9;CHOLOLO
9;1;10;CHOLOLO GUAZU
9;1;11;SOTO
9;1;12;ZONA ESTANCIA
9;1;13;JHUGUA POI (ÐUATI)
9;1;14;ÐUATI
9;1;15;KILOMETRO 60
9;1;16;COSTA SEGUNDA
9;1;17;CERRO LEON
9;1;18;BARRIO SAN MIGUEL
9;1;19;BENEGA I
9;1;20;SOLANO ESCOBAR
9;1;21;CABALLERO
9;1;22;BARRIO ASUNCION
9;1;23;CHIRCAL
9;1;24;LOMA GUAZU
9;1;999;SIN DATO DE COMPAÑIA
9;2;1;ZONA URBANA-ACAHAY
9;2;2;ISLA BAEZ
9;2;3;VALOIS RIVAROLA
9;2;4;TAPYTANGUA
9;2;5;COSTA PEÐA
9;2;6;CERRO YCE
9;2;7;POTRERO ARCE
9;2;8;PINTOS
9;2;9;YVYRATY
9;2;10;ÑUAHI
9;2;11;ISLERIA
9;2;12;CARAGUATAY GUAZU
9;2;13;CARAGUATAY MI
9;2;14;RECOLETA
9;2;15;ARROYO VERDE
9;2;16;ZANJITA
9;2;17;COSTA BAEZ CAAGUY
9;2;18;COSTA BAEZ YUQUYTY
9;2;19;LAGUNA PYTA
9;2;20;RINCON
9;2;21;CERRO GUY
9;2;22;VIRGEN DE FATIMA
9;2;23;YEGUARIZO
9;2;24;BARRIO SAN RAMON
9;2;25;BARRIO 15 DE AGOSTO
9;2;26;BARRIO SAN BLAS
9;2;27;PASO PIRI
9;2;28;TEBYCUARYMI
9;2;29;POTRERITO
9;2;30;CHAURIA
9;2;31;SAN ANTONIO
9;2;32;TAPEGUAZU
9;2;33;CERRO CORA
9;2;34;BOLICHE CUE
9;2;35;CERRO CARAPE
9;2;36;CARAPEGUA
9;2;37;SAN VICENTE
9;2;38;SAN ISIDRO
9;2;39;CRUCE REYES
9;2;40;BARRIO SANTA LUCIA
9;2;41;SANTA ANGELA
9;2;999;SIN DATO DE COMPAÑIA
9;3;1;ZONA URBANA (CIUDAD)
9;3;2;CAPILLA TUYA
9;3;3;CHARARA
9;3;4;MBOI KUATIA
9;3;5;CAPILLITA
9;3;6;TAPE GUAZU
9;3;7;ITAPE
9;3;8;YAGUARETE KUA
9;3;9;CNEL JOSE MONGELOS
9;3;10;YERE
9;3;11;MONTIEL POTRERO
9;3;12;CORAZON DE JESUS
9;3;13;ESPIRITU SANTO
9;3;14;SAN SALVADOR
9;3;15;SAN ROQUE
9;3;16;YPUCU
9;3;17;KM. 130
9;3;18;CENTRAL
9;3;19;VALLE APU'A
9;3;20;TRES CERRO
9;3;21;ITAPE CURUCAO
9;3;22;CERRITO
9;3;23;TENIENTE ALFONSO ROJAS
9;3;24;MBOPICUA
9;3;999;SIN DATO DE COMPAÑIA
9;4;1;ZONA URBANA (CIUDAD)
9;4;2;ZORRILLA KUE
9;4;3;HORQUETA
9;4;4;GUAVIRA
9;4;5;LINDERO
9;4;6;PIRAYUVY
9;4;7;KIRITO
9;4;8;POTRERO PUCU
9;4;9;POTRERO NARANJA
9;4;10;CERRO ÐU
9;4;11;FRANCO ÑU
9;4;12;IRIARTE PRIMERO
9;4;13;IRIARTE SEGUNDA
9;4;14;IRIARTE TERCERA
9;4;15;CHAURIA
9;4;16;SAN CRISTOBAL
9;4;17;POTRERO YBATE
9;4;18;ISLA SEGURA 2DA
9;4;19;LOMA PYTA
9;4;20;ISLA SEGURA 1RA
9;4;21;CATALAN
9;4;22;TTE. MARTINEZ
9;4;23;CERRO SAN ANTONIO
9;4;24;COSTA PUCU
9;4;999;SIN DATO DE COMPAÑIA
9;5;1;ZONA URBANA (CIUDAD)
9;5;2;POTRERO
9;5;3;CALIXTRO
9;5;4;CAÐETE KUE
9;5;5;ARASATY
9;5;6;CAAZAPA
9;5;7;RINCON
9;5;8;KAA YBATE
9;5;9;AGUATHY
9;5;10;FRANCO ISLA
9;5;11;BENI LOMA
9;5;12;PACHECO
9;5;13;ISLA YBATE
9;5;14;CERRITO
9;5;15;TAJY LOMA
9;5;16;INDAVARU
9;5;17;LOMA HOVY
9;5;18;BARRIO SANTA MARGARITA
9;5;19;BARRIO VILLA DEL CARMEN
9;5;20;BARRIO SAN ROQUE
9;5;21;BARRIO SAN JOSE
9;5;22;BARRIO FATIMA
9;5;23;SAN VICENTE
9;5;24;BARRIO VIRGEN DE LOS REMEDIOS
9;5;25;BARRIO MARIA AUXILIADORA
9;5;26;BARRIO SANTO DOMINGO
9;5;27;BARRIO SAN FRANCISCO
9;5;28;CERRO PINTO
9;5;29;BARRIO SAN BLAS
9;5;30;MOQUETE
9;5;31;BARRIO SAN MIGUEL
9;5;32;BARRIO EL PORTAL
9;5;33;BARRIO SAN CAYETANO
9;5;34;ESPARTILLAR
9;5;35;BARRIO NUEVO
9;5;36;YUKYTY
9;5;37;CAAPUCU MI
9;5;38;TENIENTE CUE
9;5;999;SIN DATO DE COMPAÑIA
9;6;1;ZONA URBANA (CIUDAD)
9;6;2;SAN RAMON
9;6;3;PINDOTY
9;6;4;RORY
9;6;5;CAATY MI
9;6;6;TACUAPITY
9;6;7;BARRERO AZUL
9;6;8;FATIMA
9;6;9;YBYRA PEPE
9;6;10;POTRERO ALTO
9;6;11;YAHAPETY
9;6;12;YBAROTY
9;6;13;CERRITO
9;6;14;BARRIO SAN JOSE
9;6;15;BARRIO SAN FRANCISCO
9;6;16;APYRAGUA
9;6;17;BARRIO SANTA CATALINA
9;6;18;IRIARTE 3RA.
9;6;19;BARRIO SAN ANTONIO
9;6;20;BARRIO SAN RAFAEL
9;6;21;BARRIO VIRGEN DEL CARMEN
9;6;22;RIVAROLA CUE
9;6;23;SAN BLAS
9;6;24;ISLA ALTA
9;6;25;JUGUA GUAZU
9;6;26;IRIARTE 2DA.
9;6;27;CHAURIA
9;6;999;SIN DATO DE COMPAÑIA
9;7;1;ZONA URBANA (CIUDAD)
9;7;2;MBOPICUA
9;7;3;MBOCAYATY
9;7;4;GRAL. AQUINO
9;7;5;CHOLOLO
9;7;6;ITA MOROTI 1
9;7;7;ITA MOROTI GUAZU
9;7;8;YOPOI
9;7;9;ÐUGUAZU
9;7;10;ITA MOROTI 2
9;7;11;CERRO CORA 2
9;7;12;YPAHU
9;7;13;YBYRATY
9;7;14;CERRO CORAI
9;7;15;ARROYO PORA
9;7;16;POTRERO JARA
9;7;17;CHIRCAL
9;7;18;GUAZU CUA
9;7;19;ZONA ESTANCIA
9;7;20;CERRO CHOVI
9;7;21;QUIINDY' I
9;7;22;BARRIO SAN JUAN
9;7;23;MACHADO
9;7;24;SOLANO
9;7;25;COMANDANTE JULIAN INSFRAN
9;7;26;SAN JUAN
9;7;27;CERRO CUPE
9;7;999;SIN DATO DE COMPAÑIA
9;8;1;PUEBLO (ZONA URBANA)
9;8;2;CERRITO
9;8;3;QUEBRADA
9;8;4;ÐU APUA MI Y ÐU AHI
9;8;5;LOMA GUAZU
9;8;6;ELIGIO AYALA
9;8;7;ISLA ALTA
9;8;8;ÐANDU RUGUA
